[50.78, 0.06]
[50.86, 0.08]
[50.9, 0.58]
[50.95, 0.08]
[50.95, 0.05]
[51.02, 0.06]
[51.04, 0.08]
[51.58, 0.56]
[51.6, 0.56]
[51.69, 0.1]
[51.69, 0.08]
[51.79, 0.09]
[52.21, 0.52]
[52.31, 0.1]
[52.37, 0.58]
[52.54, 0.17]
[52.64, 0.1]
[52.84, 0.52]
[52.9, 0.06]
[53.02, 0.12]
[53.09, 0.06]
[53.17, 0.53]
[53.21, 0.11]
[53.74, 0.56]
[53.75, 0.55]
[53.82, 0.08]
[53.88, 0.12]
[54.31, 0.43]
[54.49, 0.67]
[54.67, 0.35]
[54.77, 0.1]
[55.12, 0.63]
[55.25, 0.12]
[55.3, 0.52]
[55.8, 0.54]
[55.85, 0.55]
[55.91, 0.05]
[55.99, 0.08]
[56.08, 0.08]
[56.35, 0.55]
[56.71, 0.63]
[56.76, 0.05]
[56.84, 0.08]
[56.95, 0.59]
[56.96, 0.11]
[57.49, 0.52]
[57.49, 0.54]
[57.56, 0.07]
[57.57, 0.08]
[57.68, 0.12]
[57.77, 0.08]
[58.11, 0.54]
[58.33, 0.56]
[58.51, 0.18]
[58.58, 0.46]
[58.64, 0.06]
[58.76, 0.12]
[58.85, 0.09]
[59.08, 0.56]
[59.15, 0.3]
[59.19, 0.04]
[59.28, 0.08]
[59.6, 0.51]
[59.69, 0.09]
[59.78, 0.08]
[59.89, 0.61]
[59.95, 0.06]
[60.04, 0.09]
[60.26, 0.48]
[60.32, 0.06]
[60.41, 0.37]
[60.53, 0.11]
[60.66, 0.07]
[60.85, 0.52]
[60.9, 0.05]
[60.94, 0.04]
[61.0, 0.34]
[61.04, 0.04]
[61.53, 0.58]
[61.61, 0.56]
[61.62, 0.08]
[61.73, 0.12]
[62.15, 0.53]
[62.29, 0.56]
[62.67, 0.38]
[62.73, 0.57]
[62.81, 0.08]
[62.87, 0.05]
[63.24, 0.56]
[63.44, 0.57]
[63.78, 0.53]
[63.88, 0.43]
[64.38, 0.6]
[64.41, 0.53]
[64.47, 0.06]
[65.01, 0.63]
[65.06, 0.58]
[65.11, 0.05]
[65.29, 0.28]
[65.66, 0.55]
[65.91, 0.24]
[66.06, 0.76]
[66.26, 0.35]
[66.32, 0.05]
[66.7, 0.38]
[66.75, 0.05]
[66.88, 0.81]
[67.3, 0.42]
[67.33, 0.57]
[67.37, 0.06]
[67.65, 0.32]
[67.93, 0.56]
[67.94, 0.29]
[67.99, 0.06]
[68.04, 0.09]
[68.1, 0.07]
[68.16, 0.05]
[68.56, 0.57]
[68.66, 0.1]
[68.68, 0.52]
[69.08, 0.41]
[69.24, 0.55]
[69.67, 0.43]
[69.71, 0.63]
[70.18, 0.5]
[70.34, 0.63]
[70.69, 0.5]
[70.97, 0.62]
[71.08, 0.39]
[71.14, 0.05]
[71.21, 0.06]
[71.27, 0.05]
[71.34, 0.06]
[71.59, 0.62]
[71.87, 0.53]
[71.95, 0.08]
[72.22, 0.63]
[72.33, 0.1]
[72.33, 0.38]
[72.42, 0.08]
[72.58, 0.16]
[72.67, 0.09]
[72.74, 0.06]
[72.88, 0.54]
[73.42, 0.53]
[73.47, 0.73]
[73.8, 0.33]
[73.94, 0.52]
[74.3, 0.35]
[74.41, 0.61]
[74.86, 0.56]
[75.02, 0.09]
[75.04, 0.63]
[75.1, 0.06]
[75.24, 0.22]
[75.48, 0.24]
[75.83, 0.72]
[75.91, 0.08]
[76.01, 0.52]
[76.5, 0.58]
[76.54, 0.53]
[76.55, 0.05]
[76.62, 0.08]
[76.7, 0.07]
[76.81, 0.26]
[77.14, 0.43]
[77.21, 0.07]
[77.31, 0.09]
[77.39, 0.07]
[77.63, 0.81]
[77.67, 0.05]
[77.82, 0.42]
[77.86, 0.04]
[77.92, 0.05]
[78.02, 0.09]
[78.08, 0.06]
[78.38, 0.7]
[78.64, 0.55]
[78.71, 0.07]
[78.77, 0.05]
[78.84, 0.06]
[79.0, 0.63]
[79.08, 0.08]
[79.36, 0.51]
[79.41, 0.06]
[79.49, 0.06]
[79.54, 0.05]
[79.84, 0.75]
[79.92, 0.07]
[79.97, 0.05]
[80.1, 0.55]
[80.15, 0.05]
[80.25, 0.09]
[80.32, 0.06]
[80.47, 0.49]
[80.53, 0.07]
[80.62, 0.08]
[80.88, 0.55]
[81.3, 0.67]
[81.37, 0.06]
[81.38, 0.5]
[81.44, 0.06]
[81.93, 0.55]
[82.04, 0.6]
[82.47, 0.54]
[82.55, 0.51]
[82.58, 0.1]
[82.67, 0.09]
[83.08, 0.53]
[83.18, 0.5]
[83.47, 0.29]
[83.71, 0.62]
[83.79, 0.08]
[84.04, 0.57]
[84.22, 0.44]
[84.26, 0.04]
[84.27, 0.22]
[84.35, 0.08]
