[35.91,0.147]
[35.92,0.205]
[35.94,0.182]
[35.96,0.126]
[35.98,0.136]
[36.0,0.133]
[36.02,0.132]
[36.03,0.154]
[36.04,0.113]
[36.04,0.118]
[36.08,0.206]
[36.12,0.105]
[36.18,0.09]
[36.18,0.092]
[36.23,0.138]
[36.26,0.103]
[36.31,0.107]
[36.32,0.164]
[36.35,0.099]
[36.43,0.095]
[36.43,0.114]
[36.53,0.114]
[36.55,0.132]
[36.57,0.138]
[36.57,0.124]
[36.58,0.143]
[36.59,0.129]
[36.59,0.118]
[36.65,0.129]
[36.68,0.112]
[36.69,0.141]
[36.7,0.101]
[36.71,0.177]
[36.75,0.149]
[36.77,0.122]
[36.81,0.113]
[36.81,0.145]
[36.84,0.142]
[36.84,0.137]
[36.84,0.136]
[36.86,0.116]
[36.93,0.178]
[36.94,0.144]
[36.95,0.134]
[36.96,0.167]
[36.97,0.134]
[36.97,0.136]
[36.97,0.136]
[36.98,0.121]
[37.05,0.111]
[37.07,0.102]
[37.09,0.12]
[37.15,0.146]
[37.15,0.132]
[37.15,0.113]
[37.18,0.114]
[37.21,0.12]
[37.23,0.121]
[37.24,0.134]
[37.25,0.112]
[37.29,0.125]
[37.31,0.119]
[37.32,0.129]
[37.41,0.105]
[37.51,0.09]
[37.52,0.09]
[37.53,0.091]
[37.62,0.091]
[37.65,0.097]
[37.66,0.106]
[37.7,0.111]
[37.76,0.152]
[37.76,0.134]
[37.77,0.122]
[37.78,0.111]
[37.81,0.142]
[37.83,0.131]
[37.84,0.107]
[37.89,0.141]
[37.9,0.159]
[37.9,0.112]
[37.95,0.131]
[37.99,0.173]
[38.0,0.182]
[38.05,0.188]
[38.06,0.165]
[38.08,0.141]
[38.09,0.117]
[38.1,0.135]
[38.13,0.184]
[38.15,0.118]
[38.18,0.18]
[38.19,0.147]
[38.19,0.107]
[38.23,1.19]
[38.27,0.153]
[38.34,0.193]
[38.34,0.179]
[38.35,0.183]
[38.4,0.224]
[38.4,0.254]
[38.42,0.24]
[38.42,0.235]
[38.45,0.271]
[38.45,0.262]
[38.45,0.264]
[38.51,0.285]
[38.62,0.389]
[38.7,0.459]
[38.78,0.489]
[38.8,0.463]
[38.83,0.532]
[38.85,0.509]
[38.86,0.539]
[38.89,0.57]
[38.89,0.548]
[38.89,0.591]
[38.94,0.547]
[38.95,0.601]
[38.98,0.571]
[38.98,0.618]
[38.98,0.573]
[38.98,0.572]
[39.0,0.595]
[39.0,0.608]
[39.06,0.65]
[39.12,0.718]
[39.12,0.681]
[39.12,0.681]
[39.13,0.693]
[39.17,0.677]
[39.2,0.616]
[39.2,0.678]
[39.2,0.709]
[39.23,0.615]
[39.23,0.641]
[39.24,0.733]
[39.27,0.652]
[39.27,0.682]
[39.28,0.697]
[39.3,0.694]
[39.31,0.69]
[39.31,0.691]
[39.34,0.622]
[39.34,0.677]
[39.34,0.676]
[39.34,0.715]
[39.35,0.736]
[39.39,0.675]
[39.39,0.673]
[39.4,0.733]
[39.42,0.703]
[39.42,0.703]
[39.42,0.705]
[39.42,0.682]
[39.5,0.76]
[39.54,0.798]
[39.54,0.799]
[39.54,0.798]
[39.58,0.841]
[39.64,0.871]
[39.64,0.872]
[39.69,0.836]
[39.72,0.834]
[39.72,0.953]
[39.72,0.868]
[39.72,0.836]
[39.73,0.845]
[39.73,0.878]
[39.76,0.991]
[39.77,0.971]
[39.82,0.888]
[39.82,0.887]
[39.88,0.995]
[39.92,0.944]
[39.92,0.944]
[39.92,0.949]
[39.92,0.948]
[39.98,1.003]
[39.98,1.004]
[40.01,0.889]
[40.01,0.849]
[40.01,1.012]
[40.01,1.012]
[40.01,1.035]
[40.04,1.019]
[40.05,0.934]
[40.09,1.093]
[40.09,0.972]
[40.09,0.899]
[40.11,0.915]
[40.11,1.088]
[40.14,0.942]
[40.15,0.986]
[40.16,0.965]
[40.16,0.998]
[40.18,0.92]
[40.18,0.919]
[40.18,0.988]
[40.18,0.988]
[40.18,1.106]
[40.21,1.707]
[40.22,0.918]
[40.24,0.936]
[40.27,0.968]
[40.33,1.03]
[40.37,0.986]
[40.37,1.006]
[40.37,1.066]
[40.4,0.982]
[40.43,1.044]
[40.43,1.048]
[40.43,1.085]
[40.46,1.046]
[40.46,0.97]
[40.49,0.999]
[40.51,1.16]
[40.55,1.106]
[40.58,1.046]
[40.58,1.09]
[40.61,1.077]
[40.61,1.079]
[40.61,1.087]
[40.68,1.143]
[40.72,1.093]
[40.74,1.178]
[40.74,1.179]
[40.76,1.102]
[40.76,1.154]
[40.76,1.053]
[40.77,1.139]
[40.77,1.14]
[40.79,1.082]
[40.79,1.045]
[40.79,1.045]
[40.79,1.115]
[40.79,1.167]
[40.8,1.175]
[40.87,1.122]
[40.87,1.122]
[40.87,1.123]
[40.88,1.169]
[40.88,1.107]
[40.91,1.098]
[40.91,1.125]
[40.91,1.13]
[40.92,1.247]
[40.96,1.172]
[40.98,1.173]
[40.98,1.174]
[40.98,1.174]
[40.99,1.282]
[41.09,1.216]
[41.09,1.215]
[41.09,1.217]
[41.16,1.246]
[41.16,1.256]
